"recid","delta","age","hsged","yearearn","white","children","jtpa","treatment","single","male","days"
300961,1,33,1,6602,1,1,1,1,0,1,37
300967,1,25,1,0,0,1,1,0,1,0,552
300971,1,20,0,0,1,0,0,1,0,0,427
300972,1,34,0,0,0,1,1,1,0,0,252
300975,1,30,0,1750,0,1,1,1,1,0,78
300976,1,21,1,4315,0,0,1,1,1,0,30
300978,1,19,1,200,0,0,1,1,1,1,79
300980,1,22,0,0,0,0,1,0,1,0,166
300983,1,28,0,0,1,0,0,1,0,1,537
300985,1,43,1,0,0,0,1,1,0,1,73
300986,0,41,1,1500,0,1,1,1,0,0,659
300991,1,21,1,45,1,0,1,1,1,1,585
300995,0,24,0,0,1,1,0,1,0,0,704
300998,1,20,0,1052,1,0,1,1,0,1,559
300999,1,41,0,4227,1,1,0,1,0,0,143
301000,1,33,1,11000,1,1,1,1,0,0,707
301002,1,23,1,8500,0,0,0,0,0,1,7
301005,0,22,1,1540,1,0,1,0,1,0,526
301009,1,23,1,0,1,1,0,1,0,0,253
301011,1,52,1,0,1,1,0,0,0,0,272
301012,1,60,1,15028,1,0,1,1,0,0,145
301016,1,19,0,0,1,1,1,1,1,0,7
301017,0,20,1,120,1,0,1,0,1,0,975
301020,1,36,1,0,1,1,1,0,0,0,253
301022,0,25,0,0,0,1,1,1,1,0,459
301025,0,37,0,0,0,0,0,1,1,1,581
301027,1,20,1,0,0,1,0,0,0,0,979
301028,0,68,0,0,1,0,0,1,0,0,1230
301030,1,29,1,5000,0,0,0,1,1,1,171
301031,0,46,1,6220,0,0,1,1,0,1,646
301033,1,18,0,900,1,1,1,1,1,0,189
301036,1,27,0,12500,1,1,1,1,0,1,164
301037,1,22,1,8000,0,1,1,1,1,0,38
301040,1,16,0,1100,1,0,0,1,1,0,581
301041,1,18,1,2591,1,0,0,0,1,0,46
301042,1,37,0,0,1,1,0,0,0,1,17
301044,1,32,0,3900,1,1,0,0,0,1,166
301047,1,48,0,30000,1,1,1,1,0,1,11
301049,1,40,0,35000,1,1,1,1,0,1,123
301060,1,43,0,5661,1,0,0,0,0,1,117
301061,1,19,0,0,1,1,1,1,1,1,77
301065,1,20,1,1010,1,0,1,1,1,0,33
301067,1,23,1,0,1,1,1,1,1,0,419
301072,0,35,1,774,1,0,0,0,1,0,677
301073,1,34,0,0,0,0,0,1,1,1,179
301074,1,22,1,1173,0,0,1,1,1,1,80
301075,1,19,0,4000,0,0,1,0,1,0,31
301078,0,28,1,400,1,0,0,0,1,1,575
301079,1,38,0,90,1,1,0,0,0,0,528
301081,1,34,0,0,1,0,0,0,0,1,28
301084,1,29,0,0,0,1,1,0,1,0,36
301086,1,32,1,6000,1,1,1,1,0,1,225
301088,1,34,1,134,0,0,0,0,0,1,366
301090,1,30,0,0,1,1,1,1,0,0,350
301092,1,26,1,5189,0,0,1,1,1,0,59
301094,1,23,0,0,1,0,0,0,1,1,50
301095,1,36,0,108,1,1,1,1,0,1,195
301101,1,19,1,5261,0,0,0,1,1,1,183
301102,1,54,1,0,1,0,1,1,1,1,21
301103,1,25,0,0,0,0,0,0,1,1,615
301104,1,31,1,0,0,1,1,1,0,0,431
301105,1,24,1,0,1,0,1,1,1,1,22
301107,1,67,0,2400,1,0,0,0,0,1,140
301108,1,20,1,5072,0,0,0,1,1,1,412
301110,1,46,1,8000,1,0,1,0,0,1,38
301114,1,31,1,1800,1,1,1,1,0,0,151
301115,1,46,1,0,0,1,0,0,0,0,159
301116,1,17,0,3000,1,1,1,1,0,0,21
301119,0,36,1,0,0,1,1,1,1,0,570
301126,1,23,1,98,0,0,0,1,1,1,369
301131,0,23,1,1050,1,1,0,1,1,0,674
301132,1,26,1,0,1,1,1,1,0,0,99
301133,1,17,0,0,1,0,0,0,1,1,242
301134,0,23,1,0,1,1,1,1,1,0,420
301135,1,19,1,5860,0,1,0,0,0,0,26
301136,1,40,1,14000,1,1,1,1,0,1,70
301138,1,24,1,3804,0,1,1,1,1,0,26
301140,1,30,0,500,1,1,1,1,0,1,389
301142,0,18,0,1500,0,0,0,1,0,0,783
301143,0,28,0,398,1,1,0,1,1,0,626
301144,1,18,1,0,0,0,0,0,0,0,474
301145,1,41,1,586,0,1,1,1,1,0,350
301147,1,49,1,4000,0,1,1,0,0,1,177
301149,1,32,0,7000,0,1,1,1,1,0,466
301153,0,21,0,110,1,1,0,1,1,0,646
301154,1,28,1,0,0,1,0,1,1,0,21
301155,1,18,1,1500,1,0,1,1,1,0,226
301156,1,29,1,40,1,0,0,1,1,1,152
301157,1,19,1,500,1,0,0,1,1,0,54
301158,1,19,0,0,0,1,1,1,1,0,153
301161,0,29,0,0,0,1,1,1,1,0,384
301162,1,28,1,0,0,1,1,1,0,1,47
301166,1,18,0,2300,0,0,0,0,1,0,119
301168,0,30,1,200,1,1,0,0,0,0,588
301171,1,30,0,6000,1,0,0,0,0,1,242
301173,1,27,0,2340,1,1,1,1,0,0,237
301174,1,18,1,0,0,0,1,1,1,0,168
301176,1,23,1,500,1,1,1,1,1,0,616
301177,0,35,1,12088,1,1,1,1,0,0,436
301179,1,21,1,780,1,1,0,0,1,0,338
301184,1,40,1,30000,0,0,0,0,0,0,45
301185,1,26,1,9000,1,1,0,0,0,0,41
301188,1,39,1,9932,0,1,1,1,0,1,34
301191,1,21,1,1200,1,0,1,1,1,1,119
301193,1,19,0,405,0,1,1,1,1,0,30
301194,1,22,0,3000,0,0,0,0,1,0,103
301203,0,24,0,0,0,1,1,1,1,0,713
301205,1,18,0,800,1,0,0,1,1,0,83
301207,1,17,0,64436,1,0,0,1,1,1,49
301209,1,19,0,0,1,1,1,1,1,0,659
301219,1,21,1,0,1,0,1,1,1,0,170
301220,0,34,0,400,1,0,0,1,0,1,746
301223,0,30,1,7200,0,1,1,0,0,0,564
301225,1,51,0,4000,0,0,1,1,0,0,393
301228,1,18,0,0,0,1,1,1,1,0,30
301230,1,31,1,12000,0,1,0,0,0,0,560
301240,1,28,1,5060,0,1,0,1,1,0,12
301241,0,22,0,2308,0,0,1,1,1,1,621
301244,1,18,0,1799,1,0,0,0,1,1,211
301245,1,17,1,400,0,0,0,1,1,0,33
301246,1,20,1,0,0,1,1,1,1,0,262
301250,0,41,1,2200,0,0,0,0,0,1,744
301252,1,24,1,2000,0,1,0,1,0,1,3
301253,0,32,1,3220,1,0,0,1,1,1,950
301254,1,29,1,11386,0,0,0,1,1,0,143
301261,1,20,1,0,1,0,0,0,1,0,126
301263,1,21,0,5025,0,0,1,1,1,1,507
301264,1,33,1,10600,0,0,0,1,1,0,149
301265,1,18,0,5000,1,0,1,1,1,0,263
301266,0,43,1,12,0,1,1,0,0,1,616
301267,1,20,0,0,0,0,0,0,1,0,127
301271,0,34,0,0,0,1,0,0,1,0,608
301274,1,23,1,12000,1,1,1,0,0,1,19
301275,1,37,0,0,0,1,0,1,0,1,292
301277,1,20,1,1500,1,0,0,0,0,1,297
301279,1,31,1,400,1,1,1,1,0,0,28
301281,1,31,0,6517,0,0,0,0,1,0,494
301283,0,53,0,12000,1,1,1,1,0,1,522
301285,1,25,1,4686,1,0,1,0,1,0,48
301288,1,20,0,1500,1,0,1,1,1,1,59
301295,1,28,0,4473,1,1,1,1,0,0,431
301296,1,21,0,8000,1,1,1,1,0,0,6
301297,1,39,1,9000,0,1,1,1,0,0,37
301298,1,32,0,0,0,1,0,1,0,0,225
301302,0,16,0,0,0,0,1,1,0,0,1070
301305,1,19,1,650,1,0,0,1,0,0,88
301306,1,22,1,1200,0,1,0,1,1,0,114
301307,0,27,1,0,1,1,0,1,0,0,692
301310,1,34,0,0,0,1,1,1,1,0,222
301312,1,31,0,550,1,1,0,1,0,0,29
301315,0,19,1,1785,0,1,1,1,1,0,604
301317,1,37,0,9000,1,1,0,1,0,1,111
301318,1,21,1,0,0,1,1,0,1,0,213
301320,1,20,0,3900,1,0,1,1,0,0,320
301323,0,41,0,0,1,1,1,1,0,0,617
301326,1,68,0,7800,0,0,1,0,0,0,93
301327,1,19,0,0,1,1,1,1,1,0,404
301328,1,28,1,2500,0,0,0,1,1,0,529
301330,1,38,1,2500,0,0,0,1,1,1,548
301331,0,30,0,0,0,0,0,0,0,1,448
301332,1,28,1,5884,1,1,0,1,0,0,28
301337,1,30,1,10000,0,0,1,1,1,0,189
301340,1,18,0,1500,0,0,1,1,1,1,101
301341,1,30,1,8323,1,1,0,0,0,0,131
301342,1,17,0,80,1,0,1,1,1,1,381
301343,1,30,0,0,0,1,1,0,0,0,143
301347,1,28,0,5000,1,1,0,0,0,0,91
301350,1,23,1,1100,1,1,0,0,1,0,547
301351,1,17,1,850,0,0,1,1,1,1,317
301352,0,39,1,6000,1,1,1,1,0,1,431
301357,1,22,0,0,0,0,0,1,1,1,463
301358,1,16,0,0,0,0,0,1,1,1,123
301361,1,18,0,700,0,0,0,1,1,1,173
301366,1,42,0,0,1,0,0,0,0,1,223
301372,0,32,0,0,0,0,0,0,1,1,811
301378,0,24,0,0,0,1,1,1,1,0,919
301379,1,22,0,3500,1,0,1,1,1,1,106
301381,1,35,0,0,0,1,0,1,0,1,17
301384,1,39,0,7550,0,1,0,0,0,0,119
301385,1,19,0,375,1,0,1,1,1,1,250
301387,1,38,1,0,0,1,1,0,0,0,107
301391,0,35,0,4100,1,1,1,1,0,1,743
301392,1,35,0,0,0,1,0,1,0,1,79
301393,0,28,0,3226,0,0,1,1,1,1,580
